filename,client_name,incident_date,incident_time,location,incident_type,actions_taken,severity,description,reporter,reported_date,organization name,recurrence,emotion
10e.wav,Alan Burgess,"December 11, 2024",21-28,"200 George Street, Sydney, NSW, 2000",abuse or neglect,"documented, reviewed",moderate,An incident of type abuse or neglect occurred at other,"Staff Member, Family Liaison","September 12, 2024",,,Anger
18e.wav,Alexa Moran,"April 11, 2025",132148,"77 St. George Terrace, Perth, WA 6000",equipment failure,documented,low,"Client Alexa Moran was involved in equipment failure at 77 St. George Terrace, Perth, WA 6000.","Staff Member, Nurse Supervisor","March 5, 2025",Garden District,,Neutral
9e.wav,Alan Burgess,"November 20, 2024",,"1 Woolley Street, Dixon, ACT 2602",abuse or neglect,Follow-up actions taken. The report was documented and reviewed.,moderate,An incident of type abuse or neglect occurred at other,"Staff Member, Family Liaison at Elmwood","September 12, 2024",Elmwood,Follow-up incident,Anger
5e.wav,Adrian Bell,"September 11th, 2025",21.24.40,"9 Duncan Street, Punchbowl, NSW 2196",self-harm slash suicide,documented,low,"Client Adrian Bell was involved in self-harm slash suicide at 9 Duncan Street, Punchbowl, NSW 2196.","staff member, councillor","August 7th, 2025",,,Anger
16 restaurant.wav,Alex Bennett,20250518,110053,"40 Mowry Road, Hobart, TAS 7000",verbal abuse slash argument,find,moderate,An incident of type verbal abuse slash argument occurred at a respite care facility.,Kamile Lason,20250421,Elm Court,,Neutral
6.wav,Adrian Bell,2025-08-07,"40 Murray Street, Hobart","40 Murray Street, Hobart",self-harm as suicide,documented,low,Client Adrian Bell was involved in self-harm as suicide,"staff member, nurse supervisor, and Highland Park",2025-08-07,Highland Park,,Neutral
8.wav,Alan Anderson,2025-07-01,13-14-35,"77 St. George's Terrace, Perth, WA",service complaint,Follow-up actions taken. The incident was reported to the Public Prosecutor's Office on 25-04-13 and documented that the report was documented and reviewed.,low,An incident of type service complaint occurred at Community Park Shop,"staff member, program manager",25-04-13,,6th follow-up incident,Surprised
7.wav,Adrian Smith,2025-09-24,9 Duncan Street,"Punchbowl, NSW, 219-6",equipment failure,documented and reviewed,low,"Client Adrian Smith was involved in equipment failure at 9 Duncan Street, Punchbowl, NSW, 219-6. An incident of type equipment failure occurred at Transport E, Judgy Car Bus",staff member RN,2025-07-28,"Transport E, Judgy Car Bus",,Neutral
12 fan low.wav,Alan Larson,2024-11-26,02-3136,"200 George Street, Sydney",financial misconduct slash error,documented,,Client Alan Larson was involved in financial misconduct slash error,"staff member, social worker",2024-11-20,Elmwood Court,,Happy
3e.wav,Adam Oconnell,"November 9, 2024",9.11 a.m.,"9 Duncan Street, Punchbowl, NSW, 2196",near-miss,documented,moderate,An incident of type near-miss occurred at other,"Staff Member, Caseworker","October 30, 2024",Pine Hill,,Anger
4e.wav,Adam Oconnell,"November 30, 2024",,9 Duncan Street Punchbowl NSW 2196,near miss,,moderate,An incident of type near miss occurred at other,"staff member, health educator","October 30, 2024",,,Anger
1e.wav,Aaron Finley,"March 4, 2025",1054-13,"33 Cavanaugh Street, Darwin NT 0800",unethical staff behavior,,moderate,"An incident of type unethical staff behavior occurred at transport e.g. car, bus","Staff Member, Family Liaison","February 21, 2025",,,Neutral
19e.wav,Alexa Moran,"April 24, 2025",614-53,"25 Grenfell Street, Adelaide SA 5000",equipment failure,documented,low,"Client Alexa Moran was involved in equipment failure at 25 Grenfell Street, Adelaide SA 5000.",Staff Member Coordinator,"March 5, 2025",Elmwood,,Neutral
17 hospital.wav,Pamela Hill,20250402,11.400,"101 Pauling Street, Melbourne, Victoria, 3000",time transport incident,,,An incident of time transport incident occurred at Aadhar with Mono Air facility.,"staff member, caseworker",2025012,,,Neutral
13 warehouse.wav,Alan Larson,2024-11-27,203023,"33 Kevin Mack Street, Darwin, NT 0800",financial misconduct slash error,documented,low,financial misconduct slash error,Staff member Program Manager,2024-11-20,Oakport,,Neutral
11 fan high.wav,Riverbend,2025-04-27,220709,"1 Will Street, Dickson, A.C.D. 2602",near miss,documented,low,An incident of tight near miss occurred at Transport First Bracket EG Car Bus,Staff Member Program Manager,2025-03-23,Transport First,,Neutral
2.wav,Aaron Morgan,2024 1126,23 51 08,77 St. George's Terrace Perth WHA 6000,infectious disease exposure,,low,an incident of type infectious disease exposure occurred at respite care facility,staff member caseworker,2024 10 24,Silver Meadows,,Anger
14 classroom.wav,Albert Smith,2024-11-19,18.35.14,"101 Colling Street, Melbourne, Victoria 3000",near miss,documented,low,An incident of type near miss occurred at day program centre,"staff member, councillor",2024-11-15,,,Neutral
15 train station.wav,Alex Bennett,202504-27,11.53.47,"1 Willie Street, Linsol, S.C.P. 2602",verbal abuse and argument,documented,moderate,verbal abuse and argument,"staff member, team leader at Silver Meadows",202504-21,Silver Meadows,,Happy
